real_salary,predicted_salary,residuals,season,position,team
878000,3165653.39504382,-2287653.39504382,2000,Shooting Guard,Charlotte Hornets
857000,3481596.556302339,-2624596.556302339,2000,Center,Seattle SuperSonics
857000,3228842.02729553,-2371842.02729553,2000,Power Forward,Indiana Pacers
843000,3228842.02729553,-2385842.02729553,2000,Power Forward,Los Angeles Clippers
823000,3228842.02729553,-2405842.02729553,2000,Power Forward,Houston Rockets
790000,3102464.7627921104,-2312464.7627921104,2000,Small Forward,Los Angeles Lakers
745000,3228842.02729553,-2483842.02729553,2000,Power Forward,Indiana Pacers
728000,3418407.924050629,-2690407.924050629,2000,Forward,Miami Heat
684000,3102464.7627921104,-2418464.7627921104,2000,Small Forward,Philadelphia 76ers
679000,3228842.02729553,-2549842.02729553,2000,Power Forward,Utah Jazz
301000,3292030.6595472395,-2991030.6595472395,2000,Point Guard,Milwaukee Bucks
19600000,3334740.0765368342,16265259.923463166,2001,Power Forward,Minnesota Timberwolves
19285000,3587494.6055436432,15697505.394456357,2001,Center,Los Angeles Lakers
16879000,3587494.6055436432,13291505.394456357,2001,Center,Miami Heat
16875000,3334740.0765368342,13540259.923463166,2001,Power Forward,Washington Wizards
16685000,3587494.6055436432,13097505.394456357,2001,Center,Houston Rockets
15750000,3334740.0765368342,12415259.923463166,2001,Power Forward,Utah Jazz
14422000,3587494.6055436432,10834505.394456357,2001,Center,Philadelphia 76ers
14000000,3587494.6055436432,10412505.394456357,2001,Center,Seattle SuperSonics
13196000,3587494.6055436432,9608505.394456357,2001,Center,San Antonio Spurs
13151000,3208362.812033415,9942637.187966585,2001,Small Forward,Portland Trail Blazers
12600000,3334740.0765368342,9265259.923463166,2001,Power Forward,Portland Trail Blazers
12485000,3524305.9732919335,8960694.026708066,2001,Forward,New York Knicks
12200000,3397928.708788514,8802071.291211486,2001,Point Guard,Seattle SuperSonics
12000000,3461117.341040224,8538882.658959776,2001,Guard,Miami Heat
12000000,3587494.6055436432,8412505.394456357,2001,Center,Sacramento Kings
11720000,3587494.6055436432,8132505.394456357,2001,Center,Portland Trail Blazers
11250000,3397928.708788514,7852071.291211486,2001,Point Guard,Portland Trail Blazers
11000000,3461117.341040224,7538882.658959776,2001,Guard,Utah Jazz
10800000,3334740.0765368342,7465259.923463166,2001,Power Forward,Denver Nuggets
10666000,3271551.4442851245,7394448.555714875,2001,Shooting Guard,Indiana Pacers
10636000,3587494.6055436432,7048505.394456357,2001,Center,Portland Trail Blazers
10130000,3587494.6055436432,6542505.394456357,2001,Center,Cleveland Cavaliers
10130000,3208362.812033415,6921637.187966585,2001,Small Forward,Phoenix Suns
10130000,3397928.708788514,6732071.291211486,2001,Point Guard,New Jersey Nets
10125000,3334740.0765368342,6790259.923463166,2001,Power Forward,Boston Celtics
10125000,3334740.0765368342,6790259.923463166,2001,Power Forward,Vancouver Grizzlies
10125000,3271551.4442851245,6853448.555714875,2001,Shooting Guard,Philadelphia 76ers
10125000,3271551.4442851245,6853448.555714875,2001,Shooting Guard,New York Knicks
10125000,3334740.0765368342,6790259.923463166,2001,Power Forward,Seattle SuperSonics
10125000,3271551.4442851245,6853448.555714875,2001,Shooting Guard,Milwaukee Bucks
10125000,3208362.812033415,6916637.187966585,2001,Small Forward,Los Angeles Lakers
10110000,3587494.6055436432,6522505.394456357,2001,Center,Vancouver Grizzlies
9658000,3271551.4442851245,6386448.555714875,2001,Shooting Guard,Orlando Magic
9658000,3587494.6055436432,6070505.394456357,2001,Center,San Antonio Spurs
9658000,3271551.4442851245,6386448.555714875,2001,Shooting Guard,Indiana Pacers
9658000,3208362.812033415,6449637.187966585,2001,Small Forward,Orlando Magic
9641000,3587494.6055436432,6053505.394456357,2001,Center,Sacramento Kings
9336000,3334740.0765368342,6001259.923463166,2001,Power Forward,Phoenix Suns
9000000,3271551.4442851245,5728448.555714875,2001,Shooting Guard,New York Knicks
9000000,3334740.0765368342,5665259.923463166,2001,Power Forward,New Jersey Nets
8960000,3271551.4442851245,5688448.555714875,2001,Shooting Guard,Miami Heat
8897000,3334740.0765368342,5562259.923463166,2001,Power Forward,Miami Heat
8507000,3334740.0765368342,5172259.923463166,2001,Power Forward,Milwaukee Bucks
8400000,3271551.4442851245,5128448.555714875,2001,Shooting Guard,Dallas Mavericks
8370000,3587494.6055436432,4782505.394456357,2001,Center,Dallas Mavericks
8325000,3397928.708788514,4927071.291211486,2001,Point Guard,Minnesota Timberwolves
8184000,3397928.708788514,4786071.291211486,2001,Point Guard,Denver Nuggets
8120000,3208362.812033415,4911637.187966585,2001,Small Forward,Milwaukee Bucks
8100000,3271551.4442851245,4828448.555714875,2001,Shooting Guard,Portland Trail Blazers
8050000,3587494.6055436432,4462505.394456357,2001,Center,Charlotte Hornets
8040000,3334740.0765368342,4705259.923463166,2001,Power Forward,Charlotte Hornets
8000000,3397928.708788514,4602071.291211486,2001,Point Guard,San Antonio Spurs
7843000,3587494.6055436432,4255505.394456357,2001,Center,Los Angeles Lakers
7800000,3587494.6055436432,4212505.394456357,2001,Center,Philadelphia 76ers
7630000,3397928.708788514,4232071.291211486,2001,Point Guard,Phoenix Suns
7578000,3208362.812033415,4369637.187966585,2001,Small Forward,New York Knicks
7520000,3397928.708788514,4122071.291211486,2001,Point Guard,Boston Celtics
7515000,3587494.6055436432,3927505.3944563568,2001,Center,Philadelphia 76ers
7415000,3334740.0765368342,4080259.9234631658,2001,Power Forward,Philadelphia 76ers
7167000,3208362.812033415,3958637.187966585,2001,Small Forward,Philadelphia 76ers
6890000,3334740.0765368342,3555259.9234631658,2001,Power Forward,Phoenix Suns
6625000,3334740.0765368342,3290259.9234631658,2001,Power Forward,Washington Wizards
6200000,3587494.6055436432,2612505.3944563568,2001,Center,Phoenix Suns
6200000,3208362.812033415,2991637.187966585,2001,Small Forward,Charlotte Hornets
6175000,3334740.0765368342,2840259.9234631658,2001,Power Forward,Portland Trail Blazers
5909000,3334740.0765368342,2574259.9234631658,2001,Power Forward,Atlanta Hawks
5764000,3334740.0765368342,2429259.9234631658,2001,Power Forward,Charlotte Hornets
5750000,3587494.6055436432,2162505.3944563568,2001,Center,New York Knicks
5750000,3587494.6055436432,2162505.3944563568,2001,Center,New York Knicks
5700000,3587494.6055436432,2112505.3944563568,2001,Center,Indiana Pacers
5630000,3334740.0765368342,2295259.9234631658,2001,Power Forward,Utah Jazz
5620000,3461117.341040224,2158882.658959776,2001,Guard,Boston Celtics
5611000,3587494.6055436432,2023505.3944563568,2001,Center,Golden State Warriors
5600000,3208362.812033415,2391637.187966585,2001,Small Forward,Cleveland Cavaliers
5553000,3524305.9732919335,2028694.0267080665,2001,Forward,Miami Heat
5515000,3271551.4442851245,2243448.5557148755,2001,Shooting Guard,Chicago Bulls
5500000,3587494.6055436432,1912505.3944563568,2001,Center,Vancouver Grizzlies
5500000,3334740.0765368342,2165259.9234631658,2001,Power Forward,Toronto Raptors
5500000,3397928.708788514,2102071.291211486,2001,Point Guard,Dallas Mavericks
5400000,3524305.9732919335,1875694.0267080665,2001,Forward,Indiana Pacers
5400000,3587494.6055436432,1812505.3944563568,2001,Center,Houston Rockets
5400000,3587494.6055436432,1812505.3944563568,2001,Center,New Jersey Nets
5333000,3524305.9732919335,1808694.0267080665,2001,Forward,San Antonio Spurs
5300000,3334740.0765368342,1965259.9234631658,2001,Power Forward,Los Angeles Lakers
5298000,3334740.0765368342,1963259.9234631658,2001,Power Forward,Indiana Pacers
5200000,3587494.6055436432,1612505.3944563568,2001,Center,Utah Jazz
5000000,3208362.812033415,1791637.1879665852,2001,Small Forward,Detroit Pistons
5000000,3397928.708788514,1602071.2912114859,2001,Point Guard,New York Knicks
4950000,3334740.0765368342,1615259.9234631658,2001,Power Forward,Atlanta Hawks
4812000,3524305.9732919335,1287694.0267080665,2001,Forward,Washington Wizards
4800000,3461117.341040224,1338882.6589597762,2001,Guard,Golden State Warriors
4800000,3208362.812033415,1591637.1879665852,2001,Small Forward,Golden State Warriors
4680000,3461117.341040224,1218882.6589597762,2001,Guard,Toronto Raptors
4570000,3208362.812033415,1361637.1879665852,2001,Small Forward,Utah Jazz
4500000,3334740.0765368342,1165259.9234631658,2001,Power Forward,Orlando Magic
4500000,3524305.9732919335,975694.0267080665,2001,Forward,Houston Rockets
4500000,3208362.812033415,1291637.1879665852,2001,Small Forward,Denver Nuggets
4386000,3397928.708788514,988071.2912114859,2001,Point Guard,Golden State Warriors
4375000,3524305.9732919335,850694.0267080665,2001,Forward,Milwaukee Bucks
4320000,3397928.708788514,922071.2912114859,2001,Point Guard,Denver Nuggets
